,longName,symbol,industry,sector,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,totalAssets
0,Coloplast A/S,COLO-B.CO,Medical Instruments & Supplies,Healthcare,0.33411,0.20842,0.68776,5098999808,0.188,0.30644,7544000000,225.615,0.57181,633000000,18708000768,22578999296,2.982,
1,Chr. Hansen Holding A/S,CHR.CO,Specialty Chemicals,Basic Materials,0.33268002,0.18481001,0.55542,308800000,0.118,0.26749,405200000,52.821,0.13049,82800000,963400000,1218000000,0.629,
2,Tryg A/S,TRYG.CO,Insurance—Diversified,Financial Services,0.12271,0.08608,0.17013,5902000128,0.168,0.102819994,3615000064,15.165,0.054980002,1667000064,6682999808,29460000768,2.602,
3,GN Store Nord A/S,GN.CO,Medical Devices,Healthcare,0.113199994,0.03825,0.50414,318000000,0.241,0.07775,1983000064,223.702,0.11108,870000000,16110999552,17517000704,6.799,
4,Rockwool A/S,ROCK-B.CO,Building Products & Equipment,Industrials,0.16157,0.063779995,0.57433,337000000,0.267,0.10438,613000000,,0.09871,210000000,0,3793999872,9.8,
5,Genmab A/S,GMAB.CO,Biotechnology,Healthcare,0.3973,0.47168,1.0,3755000064,0.769,0.37549,4762500096,2.36,0.23587,23787999232,629000000,11987000320,364.682,
6,FLSmidth & Co. A/S,FLS.CO,Specialty Industrial Machinery,Industrials,0.07218,0.02933,0.24042,1041000000,0.206,0.05242,1479000064,28.299,0.05441,2271000064,3270000128,20489000960,40.027,
7,Novo Nordisk A/S,NOVO-B.CO,Biotechnology,Healthcare,0.46442002,0.31595,0.84194,68768997376,0.279,0.43095002,77649002496,33.867,0.73989,37473001472,25969000448,167195000832,16.569,
8,A.P. Møller - Mærsk A/S,MAERSK-B.CO,Marine Shipping,Industrials,0.44195,0.36905998,0.54102004,34155999232,0.371,0.39488,36335001600,25.774,0.60897,8334000128,15523999744,82215002112,464.322,
9,DSV A/S,DSV.CO,Integrated Freight & Logistics,Industrials,0.1103,0.06923,0.21229,25423998976,0.222,0.10395,27104999424,49.689,0.22143,12885999616,39864999936,245735997440,57.661,
10,ISS A/S,ISS.CO,Specialty Business Services,Industrials,0.03566,0.017070001,0.92153,2380000000,0.059,0.02723,2617999872,170.854,0.14555,4505999872,16812000256,73413001216,24.392,
11,Bavarian Nordic A/S,BAVA.CO,Biotechnology,Healthcare,-0.00426,-0.24924,0.37875998,-108780000,1.237,-0.14685,-10247000,13.872,-0.094160005,3241577984,965174016,2404286976,53.544,
12,Netcompany Group A/S,NETC.CO,Information Technology Services,Technology,0.18250999,0.10496,0.31643,536963968,0.689,0.14513999,944956032,67.7,0.17663,223639008,2264613120,5177459200,4.551,
13,A.P. Møller - Mærsk A/S,MAERSK-A.CO,Marine Shipping,Industrials,0.44195,0.36905998,0.54102004,34155999232,0.371,0.39488,36335001600,25.774,0.60897,8334000128,15523999744,82215002112,464.322,
14,Carlsberg A/S,CARL-B.CO,Beverages—Brewers,Consumer Defensive,0.21643,-0.01985,0.4629,15900000256,0.236,0.15946001,15888000000,86.79,0.21153,13287000064,32724000768,73409003520,94.265,
15,Ørsted A/S,ORSTED.CO,Utilities—Renewable,Utilities,0.17076,0.14636,0.25863,-8322999808,1.518,0.10451,21731000320,135.387,0.2796,28220999680,72806998016,127263997952,67.165,
16,Royal Unibrew A/S,RBREW.CO,Beverages—Brewers,Consumer Defensive,0.17503999,0.13886,0.44158,1290000000,0.354,0.13841,1938749952,92.295,0.37474,176000000,4540000256,11075999744,3.557,
17,Novozymes A/S,NZYM-B.CO,Specialty Chemicals,Basic Materials,0.32554,0.20275,0.55272996,4116999936,0.161,0.25371,5488000000,49.178,0.26791,1376999936,6905999872,16858000384,4.984,
18,Demant A/S,DEMANT.CO,Medical Devices,Healthcare,0.19174999,0.12477,0.75119,2571000064,0.086,0.16641001,3670000128,163.991,0.30901,1244999936,13420999680,19139000320,5.461,
19,Nordea Bank Abp,NDA-DK.CO,Banks—Regional,Financial Services,0.0,0.3666,0.0,-20793999360,0.068,0.48366,,,0.09909,119565000704,238029996032,9148999680,32.254,
20,Pandora A/S,PNDORA.CO,Luxury Goods,Consumer Cyclical,0.26782,0.17827,0.76126,4432000000,0.113,0.23448,6861000192,166.138,0.70255995,260000000,9434999808,25617999872,2.763,
21,Ambu A/S,AMBU-B.CO,Medical Devices,Healthcare,0.059180003,0.02093,0.57471,95000000,0.134,0.027449999,263000000,43.3,0.022650002,187000000,1844999936,4444000256,0.736,
22,Danske Bank A/S,DANSKE.CO,Banks—Regional,Financial Services,0.0,-0.12597999,0.0,-14968000512,-0.097,0.29398,,,-0.03359,920600969216,1755687944192,44346998784,1082.193,
23,Vestas Wind Systems A/S,VWS.CO,Specialty Industrial Machinery,Industrials,0.008909999,-0.06966,0.053319998,-845000000,-0.293,-0.030030001,127000000,65.146,-0.23379,1139000064,2428000000,14254000128,1.129,
24,Jyske Bank A/S,JYSK.CO,Banks—Regional,Financial Services,0.0,0.32202,0.0,17763000320,-0.073,0.41963002,,,0.07711,153447006208,460927008768,9251000320,2388.243,
